,result,table,_start,_stop,_time,_value,_field,_measurement,domain_id,domain_name,host,server,socket_id,url
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:29Z,80208,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:32Z,95212,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:35Z,109192,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:38Z,163813,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:41Z,146812,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:44Z,205785,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:47Z,144081,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:50Z,118491,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:53Z,82964,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:56Z,83663,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:31:59Z,101154,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:02Z,102859,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:05Z,109305,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:08Z,102069,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:11Z,92268,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:14Z,113236,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:17Z,74284,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
,_result,0,2026-03-03T22:30:00Z,2026-03-04T05:30:00Z,2026-03-03T22:32:20Z,102354,scaph_domain_power_microwatts,scaphandre,0,core,energydata,laptopHP,0,http://10.255.35.141:8080/metrics
